Symbol,TRDATE,Open,High,Low,Close,Volume
SBIN,07-Apr-98,27.59,28.51,27.46,28.17,53313607
HDFCBANK,08-Apr-98,7.89,7.89,7.89,7.89,0
HINDUNILVR,08-Apr-98,164.15,164.15,164.15,164.15,0
INFY,08-Apr-98,8.0,8.0,8.0,8.0,0
RELIANCE,08-Apr-98,28.68,28.68,28.68,28.68,0
SBIN,08-Apr-98,28.17,28.17,28.17,28.17,0
HDFCBANK,09-Apr-98,8.0,8.05,7.75,7.85,2662000
HINDUNILVR,09-Apr-98,165.0,167.4,162.55,163.22,3826500
INFY,09-Apr-98,8.5,8.73,8.2,8.69,19737600
RELIANCE,09-Apr-98,29.23,31.36,29.23,30.86,70544961
SBIN,09-Apr-98,28.97,29.11,28.23,28.54,53385148
HDFCBANK,10-Apr-98,7.85,7.96,7.75,7.79,1455000
HINDUNILVR,10-Apr-98,163.4,163.4,160.6,161.95,3254000
INFY,10-Apr-98,8.78,8.78,8.07,8.12,35302400
RELIANCE,10-Apr-98,30.79,30.93,30.06,30.16,45875892
SBIN,10-Apr-98,28.42,28.87,28.24,28.44,59499480
HDFCBANK,13-Apr-98,7.73,7.92,7.5,7.55,2352000
HINDUNILVR,13-Apr-98,160.5,162.4,157.6,158.44,3549500
INFY,13-Apr-98,8.01,8.01,7.32,7.36,21145600
RELIANCE,13-Apr-98,29.72,29.74,29.16,29.27,56907641
SBIN,13-Apr-98,28.37,28.37,27.37,27.48,49381527
HDFCBANK,14-Apr-98,7.55,7.55,7.55,7.55,0
HINDUNILVR,14-Apr-98,158.44,158.44,158.44,158.44,0
INFY,14-Apr-98,7.36,7.36,7.36,7.36,0
RELIANCE,14-Apr-98,29.27,29.27,29.27,29.27,0
SBIN,14-Apr-98,27.48,27.48,27.48,27.48,0
HDFCBANK,15-Apr-98,7.8,8.09,7.78,7.97,3147000
HINDUNILVR,15-Apr-98,161.5,162.49,160.6,160.87,907500
INFY,15-Apr-98,7.93,7.93,7.7,7.86,8704000
RELIANCE,15-Apr-98,30.25,30.93,30.02,30.75,41578622
SBIN,15-Apr-98,28.26,28.82,28.21,28.65,61226522
HDFCBANK,16-Apr-98,8.04,8.1,7.76,7.79,1466000
HINDUNILVR,16-Apr-98,160.9,163.8,159.5,161.1,3251000
INFY,16-Apr-98,7.93,8.59,7.72,8.18,32537600
RELIANCE,16-Apr-98,30.74,30.79,30.04,30.16,28431523
SBIN,16-Apr-98,28.54,28.57,27.88,27.98,40062178
HDFCBANK,17-Apr-98,7.81,7.85,7.59,7.74,1073000
HINDUNILVR,17-Apr-98,161.1,162.2,160.7,161.5,2227000
INFY,17-Apr-98,8.05,8.73,8.05,8.67,47334400
RELIANCE,17-Apr-98,30.16,30.86,29.95,30.78,43807722
SBIN,17-Apr-98,27.97,28.16,27.72,28.1,32673364
HDFCBANK,20-Apr-98,7.8,7.82,7.6,7.62,1315000
HINDUNILVR,20-Apr-98,159.0,164.18,155.0,162.71,3962500
INFY,20-Apr-98,8.79,9.05,8.65,8.72,34918400
RELIANCE,20-Apr-98,30.9,31.29,30.4,30.6,47068321
SBIN,20-Apr-98,28.12,28.4,27.86,27.94,36048488
HDFCBANK,21-Apr-98,7.56,7.92,7.56,7.82,2649000
HINDUNILVR,21-Apr-98,162.7,168.29,162.7,165.07,5051500
INFY,21-Apr-98,8.71,8.9,8.59,8.7,20172800
RELIANCE,21-Apr-98,30.71,31.06,30.56,30.83,35773204
SBIN,21-Apr-98,28.02,28.38,27.94,28.17,39801452
HDFCBANK,22-Apr-98,8.18,8.61,8.11,8.17,6647000
HINDUNILVR,22-Apr-98,167.1,169.3,163.7,164.26,2099000
INFY,22-Apr-98,9.49,9.53,8.84,8.91,37913600
RELIANCE,22-Apr-98,31.25,31.99,30.48,30.64,74955334
SBIN,22-Apr-98,28.49,28.85,27.87,27.97,37722537
HDFCBANK,23-Apr-98,8.15,8.3,7.85,7.93,3071000
HINDUNILVR,23-Apr-98,164.9,164.9,160.81,161.1,1193500
INFY,23-Apr-98,8.8,8.88,8.49,8.59,24140800
RELIANCE,23-Apr-98,30.47,30.6,29.35,29.54,60088422
SBIN,23-Apr-98,27.93,28.11,27.37,27.49,31123848
HDFCBANK,24-Apr-98,7.91,8.0,7.51,7.89,2395000
HINDUNILVR,24-Apr-98,161.1,163.3,156.7,159.66,2421000
INFY,24-Apr-98,8.5,8.71,8.11,8.46,30233600
RELIANCE,24-Apr-98,29.59,29.83,28.94,29.65,65771366
SBIN,24-Apr-98,27.54,27.96,27.04,27.85,46892445
HDFCBANK,27-Apr-98,7.79,8.0,7.7,7.76,2550000
HINDUNILVR,27-Apr-98,160.0,160.5,158.55,159.76,1566000
INFY,27-Apr-98,8.48,8.55,8.24,8.32,11801600
RELIANCE,27-Apr-98,29.68,29.94,29.01,29.11,79607748
SBIN,27-Apr-98,27.93,28.04,27.6,27.73,30171564
HDFCBANK,28-Apr-98,7.61,7.89,7.56,7.81,3805000
HINDUNILVR,28-Apr-98,159.0,159.3,156.5,157.22,1712500
INFY,28-Apr-98,8.38,8.46,8.21,8.42,18432000
RELIANCE,28-Apr-98,29.09,29.16,28.49,28.62,68889779
SBIN,28-Apr-98,27.65,27.83,27.5,27.65,29254255
HDFCBANK,29-Apr-98,7.89,8.14,7.53,7.63,3597000
HINDUNILVR,29-Apr-98,158.5,160.45,157.1,157.74,917500
INFY,29-Apr-98,8.44,8.48,8.3,8.34,10214400
RELIANCE,29-Apr-98,30.16,30.64,29.34,29.47,54496930
SBIN,29-Apr-98,28.12,28.35,26.94,27.05,66533241
HDFCBANK,30-Apr-98,7.63,7.7,7.5,7.68,1893000
HINDUNILVR,30-Apr-98,157.15,158.5,156.5,158.13,658000
INFY,30-Apr-98,8.32,8.51,8.26,8.48,22809600
RELIANCE,30-Apr-98,29.33,29.84,29.18,29.7,46328304
SBIN,30-Apr-98,26.98,27.34,26.76,27.18,32774050
HDFCBANK,01-May-98,7.68,7.68,7.68,7.68,0
HINDUNILVR,01-May-98,158.13,158.13,158.13,158.13,0
INFY,01-May-98,8.48,8.48,8.48,8.48,0
RELIANCE,01-May-98,29.7,29.7,29.7,29.7,0
SBIN,01-May-98,27.18,27.18,27.18,27.18,0
HDFCBANK,04-May-98,7.84,7.9,7.6,7.7,1507000
HINDUNILVR,04-May-98,158.49,167.0,158.49,166.12,3851000
INFY,04-May-98,8.52,8.83,8.52,8.8,37836800
RELIANCE,04-May-98,29.78,30.25,29.72,30.13,35184745
SBIN,04-May-98,27.25,27.55,27.13,27.29,19825211
HDFCBANK,05-May-98,7.74,7.75,7.6,7.7,1330000
HINDUNILVR,05-May-98,165.98,165.98,162.5,163.27,1546500
INFY,05-May-98,8.82,8.95,8.75,8.91,26598400
RELIANCE,05-May-98,30.09,30.23,29.97,30.14,17765581
SBIN,05-May-98,27.19,27.35,27.01,27.25,28034356
HDFCBANK,06-May-98,7.8,7.84,7.6,7.61,968000
HINDUNILVR,06-May-98,165.5,165.9,161.5,163.35,1160500
INFY,06-May-98,8.85,8.93,8.73,8.87,27520000
RELIANCE,06-May-98,30.16,30.17,29.44,29.54,31499524
SBIN,06-May-98,27.46,27.46,26.44,26.61,39291129
HDFCBANK,07-May-98,7.61,7.61,7.61,7.61,0
HINDUNILVR,07-May-98,163.35,163.35,163.35,163.35,0
INFY,07-May-98,8.87,8.87,8.87,8.87,0
RELIANCE,07-May-98,29.54,29.54,29.54,29.54,0
SBIN,07-May-98,26.61,26.61,26.61,26.61,0
HDFCBANK,08-May-98,7.69,7.69,7.22,7.4,3061000
HINDUNILVR,08-May-98,161.6,163.4,160.45,161.54,1494000
INFY,08-May-98,8.93,9.1,8.84,8.99,48281600
RELIANCE,08-May-98,29.42,29.58,29.26,29.4,24433168
SBIN,08-May-98,26.51,26.61,26.14,26.23,34012497
HDFCBANK,11-May-98,7.35,7.7,7.25,7.64,3243000
HINDUNILVR,11-May-98,159.4,162.49,159.3,162.12,690500
INFY,11-May-98,8.98,9.2,8.98,9.18,53913600
RELIANCE,11-May-98,29.33,29.59,29.27,29.51,11576905
SBIN,11-May-98,26.14,26.41,26.13,26.29,19519441
HDFCBANK,12-May-98,7.5,7.52,6.88,7.32,3687000
HINDUNILVR,12-May-98,161.01,161.01,147.2,158.18,2326000
INFY,12-May-98,9.02,9.04,8.71,8.91,76774400
RELIANCE,12-May-98,29.46,29.46,28.21,28.68,45570514
SBIN,12-May-98,26.24,26.24,24.83,24.9,58196382
HDFCBANK,13-May-98,7.3,7.45,7.01,7.07,1479000
HINDUNILVR,13-May-98,155.0,158.5,155.0,156.32,1658000
INFY,13-May-98,8.86,8.94,8.4,8.57,56908800
RELIANCE,13-May-98,28.62,28.62,26.66,27.05,58904718
SBIN,13-May-98,24.91,25.1,24.07,24.21,39260393
HDFCBANK,14-May-98,6.91,7.5,6.82,7.38,3505000
HINDUNILVR,14-May-98,155.1,159.49,155.1,158.82,1272000
INFY,14-May-98,8.4,8.93,8.4,8.89,67328000
RELIANCE,14-May-98,26.69,27.85,26.32,27.65,79880811
SBIN,14-May-98,24.11,24.81,23.93,24.71,45466404
HDFCBANK,15-May-98,7.49,7.5,7.11,7.31,1823000
HINDUNILVR,15-May-98,160.0,160.5,157.8,159.48,1134500
INFY,15-May-98,8.9,9.07,8.87,8.95,36352000
RELIANCE,15-May-98,27.92,28.3,27.29,27.42,53627006
SBIN,15-May-98,24.81,24.84,23.74,23.83,62078649
HDFCBANK,18-May-98,7.28,7.35,7.22,7.26,840000
HINDUNILVR,18-May-98,159.4,162.39,158.8,159.4,753000
INFY,18-May-98,9.0,9.15,8.99,9.07,28416000
RELIANCE,18-May-98,27.61,28.08,27.61,27.72,26547872
SBIN,18-May-98,23.93,24.44,23.83,24.14,43951864
HDFCBANK,19-May-98,7.25,7.32,7.18,7.28,3111000
HINDUNILVR,19-May-98,159.73,162.7,159.0,161.28,1964500
INFY,19-May-98,9.07,9.26,9.07,9.24,27520000
RELIANCE,19-May-98,27.71,28.08,27.62,27.99,28634785
SBIN,19-May-98,24.15,24.29,23.76,23.97,43381659
HDFCBANK,20-May-98,7.35,7.46,7.28,7.45,1150000
HINDUNILVR,20-May-98,163.0,164.75,161.8,164.07,1825000
INFY,20-May-98,9.3,9.86,9.3,9.77,89984000
RELIANCE,20-May-98,28.04,28.44,27.87,28.35,38843790
SBIN,20-May-98,24.16,24.72,24.06,24.59,42862328
HDFCBANK,21-May-98,7.47,7.49,7.18,7.24,1002000
HINDUNILVR,21-May-98,164.65,169.0,163.25,165.06,4626500
INFY,21-May-98,9.82,9.86,9.3,9.39,64563200
RELIANCE,21-May-98,28.47,28.69,27.8,28.01,55308364
SBIN,21-May-98,24.7,24.7,23.9,24.04,37010841
HDFCBANK,22-May-98,7.25,7.3,7.11,7.24,668000
HINDUNILVR,22-May-98,165.0,167.3,164.9,166.87,1531000
INFY,22-May-98,9.39,9.63,9.38,9.56,26777600
RELIANCE,22-May-98,28.08,28.24,27.85,28.14,28766954
SBIN,22-May-98,24.01,24.29,23.89,24.23,28039656
HDFCBANK,25-May-98,7.14,7.23,7.11,7.14,367000
HINDUNILVR,25-May-98,165.0,166.9,156.25,165.63,702500
INFY,25-May-98,9.32,9.74,9.32,9.6,43212800
RELIANCE,25-May-98,27.77,28.52,27.71,28.25,37096833
SBIN,25-May-98,23.99,24.13,23.73,24.01,15798803
HDFCBANK,26-May-98,7.06,7.25,6.93,7.2,2556000
HINDUNILVR,26-May-98,165.3,165.9,161.51,162.35,1577000
INFY,26-May-98,9.57,9.69,9.43,9.51,46873600
RELIANCE,26-May-98,28.16,28.25,27.97,28.14,22599929
SBIN,26-May-98,23.92,23.97,23.48,23.57,39992227
HDFCBANK,27-May-98,7.3,7.39,7.03,7.11,1129000
HINDUNILVR,27-May-98,163.5,163.9,161.4,162.08,695000
INFY,27-May-98,9.63,9.96,9.57,9.7,27110400
RELIANCE,27-May-98,28.01,28.01,26.71,26.86,58450690
SBIN,27-May-98,23.58,23.77,23.12,23.21,31019452
HDFCBANK,28-May-98,7.13,7.18,7.0,7.01,652000
HINDUNILVR,28-May-98,161.5,162.39,159.5,160.05,641000
INFY,28-May-98,9.69,9.8,9.59,9.62,8908800
RELIANCE,28-May-98,26.71,26.94,25.64,25.73,76581756
SBIN,28-May-98,23.12,23.47,22.89,22.95,25630594
HDFCBANK,29-May-98,6.71,7.01,6.65,6.95,1015000
HINDUNILVR,29-May-98,159.7,161.3,157.0,159.74,1041500
INFY,29-May-98,9.57,9.65,9.06,9.54,13696000
RELIANCE,29-May-98,25.66,26.46,24.52,25.82,100246793
SBIN,29-May-98,22.91,23.25,22.28,22.84,36435867
HDFCBANK,01-Jun-98,6.98,7.11,6.72,6.8,1186000
HINDUNILVR,01-Jun-98,161.0,162.0,155.6,157.49,1085000
INFY,01-Jun-98,9.64,10.16,9.64,9.78,24576000
RELIANCE,01-Jun-98,26.15,27.54,25.31,25.57,112734017
SBIN,01-Jun-98,23.02,23.38,22.2,22.32,32254189
HDFCBANK,02-Jun-98,6.65,6.79,6.43,6.51,1484000
HINDUNILVR,02-Jun-98,157.5,157.7,151.5,155.76,2626500
INFY,02-Jun-98,9.75,9.8,9.42,9.5,14156800
RELIANCE,02-Jun-98,25.68,25.68,23.8,24.07,141774035
SBIN,02-Jun-98,22.27,22.45,21.33,21.45,38690719
HDFCBANK,03-Jun-98,6.85,7.12,6.61,6.74,2379000
HINDUNILVR,03-Jun-98,154.2,158.8,154.2,158.28,966500
INFY,03-Jun-98,9.65,9.66,8.85,9.17,23321600
RELIANCE,03-Jun-98,24.76,25.82,24.53,25.65,67742268
SBIN,03-Jun-98,21.7,21.7,19.69,20.36,85560908
HDFCBANK,04-Jun-98,6.85,6.85,6.66,6.74,579000
HINDUNILVR,04-Jun-98,158.5,159.7,157.0,157.39,668500
INFY,04-Jun-98,9.18,9.26,8.91,8.98,12902400
RELIANCE,04-Jun-98,25.84,25.92,25.16,25.28,38467965
SBIN,04-Jun-98,20.4,20.44,19.63,19.81,69790191
HDFCBANK,05-Jun-98,6.7,6.8,6.61,6.66,1234000
HINDUNILVR,05-Jun-98,157.02,157.7,155.02,157.02,1902500
INFY,05-Jun-98,8.93,8.93,8.14,8.21,27161600
RELIANCE,05-Jun-98,25.09,25.2,24.2,24.45,51862598
SBIN,05-Jun-98,19.68,19.68,18.69,18.81,70238511
HDFCBANK,08-Jun-98,6.57,6.7,6.21,6.36,1900000
HINDUNILVR,08-Jun-98,157.2,158.0,146.26,152.35,4566500
INFY,08-Jun-98,8.16,8.24,7.4,7.53,22297600
RELIANCE,08-Jun-98,24.68,24.83,23.29,24.08,51721704
SBIN,08-Jun-98,18.87,19.06,17.64,18.43,79378214
HDFCBANK,09-Jun-98,6.5,6.68,6.31,6.61,1094000
HINDUNILVR,09-Jun-98,154.5,161.9,152.26,159.21,1566000
INFY,09-Jun-98,7.74,8.28,7.53,8.28,15488000
RELIANCE,09-Jun-98,24.21,24.49,23.72,23.95,46727720
SBIN,09-Jun-98,18.68,19.33,18.03,18.94,72020136
HDFCBANK,10-Jun-98,6.55,6.58,6.33,6.38,1345000
HINDUNILVR,10-Jun-98,158.0,158.0,153.5,154.46,1387000
INFY,10-Jun-98,8.44,8.54,7.72,8.02,19328000
RELIANCE,10-Jun-98,24.06,24.14,23.05,23.15,44244946
SBIN,10-Jun-98,19.01,19.25,18.04,18.22,49504470
HDFCBANK,11-Jun-98,6.25,6.34,6.12,6.3,1807000
HINDUNILVR,11-Jun-98,152.6,155.0,147.11,154.57,2988000
INFY,11-Jun-98,7.93,8.77,7.6,8.62,49331200
RELIANCE,11-Jun-98,22.91,23.6,22.59,23.47,45657118
SBIN,11-Jun-98,17.96,18.68,17.46,18.59,54003576
HDFCBANK,12-Jun-98,6.36,6.43,6.21,6.28,1657000
HINDUNILVR,12-Jun-98,155.6,158.49,154.5,155.79,899500
INFY,12-Jun-98,8.8,9.18,8.75,8.93,23808000
RELIANCE,12-Jun-98,23.59,23.94,23.16,23.48,33712143
SBIN,12-Jun-98,18.69,19.34,18.69,19.2,45911545
HDFCBANK,15-Jun-98,6.21,6.28,5.86,5.93,1166000
HINDUNILVR,15-Jun-98,154.0,154.0,147.81,148.62,2142500
INFY,15-Jun-98,8.79,8.83,8.04,8.09,32896000
RELIANCE,15-Jun-98,23.41,23.41,22.44,22.54,28059575
SBIN,15-Jun-98,18.96,19.01,18.07,18.14,36799928
HDFCBANK,16-Jun-98,5.83,5.98,5.53,5.94,1489000
HINDUNILVR,16-Jun-98,147.54,154.5,143.5,153.62,2628000
INFY,16-Jun-98,7.89,8.34,7.34,7.87,33356800
RELIANCE,16-Jun-98,22.44,22.54,21.4,22.44,49325212
SBIN,16-Jun-98,18.03,18.49,17.46,18.38,43553886
HDFCBANK,17-Jun-98,6.14,6.45,6.14,6.41,6184000
HINDUNILVR,17-Jun-98,157.9,164.7,156.9,163.71,1626500
INFY,17-Jun-98,8.2,8.66,8.2,8.63,7142400
RELIANCE,17-Jun-98,22.94,24.25,22.94,23.77,37637142
SBIN,17-Jun-98,18.68,20.22,18.68,20.15,63871403
HDFCBANK,18-Jun-98,6.25,6.45,6.19,6.22,1437000
HINDUNILVR,18-Jun-98,164.0,164.49,156.31,157.32,851000
INFY,18-Jun-98,8.73,8.94,8.3,8.4,12928000
RELIANCE,18-Jun-98,24.06,24.52,22.9,23.04,37720192
SBIN,18-Jun-98,20.55,20.86,19.65,19.83,79166242
HDFCBANK,19-Jun-98,6.11,6.27,5.93,6.21,882000
HINDUNILVR,19-Jun-98,154.0,154.25,149.21,151.41,1412000
INFY,19-Jun-98,8.13,8.16,7.73,8.0,16153600
RELIANCE,19-Jun-98,22.77,22.77,21.82,21.98,32624738
SBIN,19-Jun-98,19.85,19.9,19.05,19.18,66917440
HDFCBANK,22-Jun-98,5.9,6.05,5.59,5.82,1769000
HINDUNILVR,22-Jun-98,150.9,150.9,141.1,147.29,1940500
INFY,22-Jun-98,7.62,7.77,7.3,7.64,16768000
RELIANCE,22-Jun-98,21.68,22.01,20.19,21.53,33106557
SBIN,22-Jun-98,19.02,19.02,17.74,18.58,43083309
HDFCBANK,23-Jun-98,5.8,6.0,5.6,5.91,770000
HINDUNILVR,23-Jun-98,144.5,145.79,137.65,141.43,2243000
INFY,23-Jun-98,7.52,8.39,7.4,8.34,22041600
RELIANCE,23-Jun-98,21.43,21.86,20.89,21.55,41388609
SBIN,23-Jun-98,18.4,19.39,18.26,19.31,50712711
HDFCBANK,24-Jun-98,6.0,6.14,5.9,6.09,567000
HINDUNILVR,24-Jun-98,142.6,148.5,141.0,147.43,1200500
INFY,24-Jun-98,8.52,8.96,8.32,8.92,36915200
RELIANCE,24-Jun-98,21.97,22.39,21.75,22.3,26072839
SBIN,24-Jun-98,19.34,19.72,19.18,19.59,32517564
HDFCBANK,25-Jun-98,6.13,6.25,6.09,6.14,552000
HINDUNILVR,25-Jun-98,148.38,153.5,146.6,147.76,1674500
INFY,25-Jun-98,8.98,9.2,8.59,8.87,46924800
RELIANCE,25-Jun-98,22.36,23.09,22.36,22.79,31873410
SBIN,25-Jun-98,19.65,20.07,19.58,19.94,36115259
HDFCBANK,26-Jun-98,6.1,6.15,5.96,6.07,732000
HINDUNILVR,26-Jun-98,146.6,149.7,146.5,148.2,919000
INFY,26-Jun-98,8.85,8.85,8.63,8.72,17792000
RELIANCE,26-Jun-98,22.74,22.9,22.0,22.23,29194807
SBIN,26-Jun-98,19.95,19.95,19.46,19.63,30385656
HDFCBANK,29-Jun-98,6.05,6.14,5.99,6.07,1031000
HINDUNILVR,29-Jun-98,147.01,150.49,146.2,149.21,694500
INFY,29-Jun-98,8.66,9.04,8.52,8.91,34534400
RELIANCE,29-Jun-98,22.2,22.7,21.97,22.63,18196666
SBIN,29-Jun-98,19.56,20.08,19.49,20.01,34728432
HDFCBANK,30-Jun-98,6.14,6.67,6.01,6.53,2434000
HINDUNILVR,30-Jun-98,149.9,151.5,145.2,149.96,2277000
INFY,30-Jun-98,8.95,8.98,8.59,8.63,39833600
RELIANCE,30-Jun-98,22.73,22.73,22.13,22.21,36594978
SBIN,30-Jun-98,20.1,20.36,19.81,20.05,46821435
HDFCBANK,01-Jul-98,6.28,6.32,6.1,6.16,467000
HINDUNILVR,01-Jul-98,147.95,162.69,146.7,161.35,4669500
INFY,01-Jul-98,8.67,8.73,8.39,8.56,17049600
RELIANCE,01-Jul-98,21.82,22.27,21.62,22.01,25963937
SBIN,01-Jul-98,19.73,19.91,19.28,19.59,44085406
HDFCBANK,02-Jul-98,6.06,6.14,5.88,5.93,438000
HINDUNILVR,02-Jul-98,159.0,159.5,149.6,150.74,5127000
INFY,02-Jul-98,8.46,8.65,8.44,8.53,9779200
RELIANCE,02-Jul-98,21.96,22.5,21.7,22.03,31365093
SBIN,02-Jul-98,19.46,19.63,19.34,19.38,19757380
HDFCBANK,03-Jul-98,5.88,5.9,5.69,5.71,714000
HINDUNILVR,03-Jul-98,149.5,155.37,149.16,152.1,3096000
INFY,03-Jul-98,8.55,8.85,8.48,8.53,34790400
RELIANCE,03-Jul-98,22.04,22.12,21.44,21.6,22401837
SBIN,03-Jul-98,19.45,19.48,18.73,18.82,35735829
HDFCBANK,06-Jul-98,5.7,5.88,5.68,5.72,571000
HINDUNILVR,06-Jul-98,152.07,154.29,150.6,153.07,1599500
INFY,06-Jul-98,8.55,9.04,8.55,8.97,20736000
RELIANCE,06-Jul-98,21.81,22.27,21.68,22.21,19499290
SBIN,06-Jul-98,18.96,19.72,18.92,19.57,38615469
HDFCBANK,07-Jul-98,5.72,5.83,5.63,5.68,806000
HINDUNILVR,07-Jul-98,153.5,155.38,151.6,152.1,1778500
INFY,07-Jul-98,9.06,9.56,9.03,9.43,36044800
RELIANCE,07-Jul-98,22.26,22.54,22.09,22.2,31241972
SBIN,07-Jul-98,19.65,20.66,19.65,20.4,85180418
HDFCBANK,08-Jul-98,5.9,6.05,5.82,5.98,567000
HINDUNILVR,08-Jul-98,153.0,157.24,153.0,155.74,1299000
INFY,08-Jul-98,9.57,9.98,9.57,9.9,48358400
RELIANCE,08-Jul-98,22.59,22.85,22.45,22.57,22558889
SBIN,08-Jul-98,20.33,20.76,20.01,20.23,53548366
HDFCBANK,09-Jul-98,6.07,6.15,5.91,6.01,565000
HINDUNILVR,09-Jul-98,156.49,163.0,156.49,159.98,3077500
INFY,09-Jul-98,9.92,10.05,9.54,9.76,116940800
RELIANCE,09-Jul-98,22.67,22.98,22.47,22.58,29236170
SBIN,09-Jul-98,20.31,20.46,20.12,20.23,31872109
HDFCBANK,10-Jul-98,6.18,6.49,6.05,6.32,2181000
HINDUNILVR,10-Jul-98,161.4,162.5,159.5,161.45,1395000
INFY,10-Jul-98,9.84,9.84,9.58,9.76,34892800
RELIANCE,10-Jul-98,22.73,23.27,22.71,23.18,40599150
SBIN,10-Jul-98,20.38,21.69,20.34,21.5,106057540
HDFCBANK,13-Jul-98,6.55,6.82,6.43,6.7,2541000
HINDUNILVR,13-Jul-98,162.4,162.4,157.51,158.34,966500
INFY,13-Jul-98,9.82,9.92,9.65,9.71,33689600
RELIANCE,13-Jul-98,23.22,23.89,22.63,22.85,38334503
SBIN,13-Jul-98,21.56,21.82,20.31,20.48,92955551
HDFCBANK,14-Jul-98,6.65,7.07,6.46,6.92,2381000
HINDUNILVR,14-Jul-98,158.7,160.1,157.2,159.02,1168000
INFY,14-Jul-98,9.59,9.96,9.59,9.79,32409600
RELIANCE,14-Jul-98,22.74,23.02,22.55,22.85,23095967
SBIN,14-Jul-98,20.38,20.8,20.2,20.5,59436948
HDFCBANK,15-Jul-98,7.2,7.2,6.55,6.62,1326000
HINDUNILVR,15-Jul-98,162.0,164.4,161.2,162.29,1299500
INFY,15-Jul-98,10.06,10.14,9.88,9.94,41369600
RELIANCE,15-Jul-98,23.36,23.58,22.77,22.88,27955520
SBIN,15-Jul-98,20.76,21.11,20.03,20.15,58207511
HDFCBANK,16-Jul-98,6.59,6.83,6.55,6.76,1606000
